station_id,station_name,utm_north,utm_east,year,TOC_mgpl,NO3_NO2_ugpl
27006,HOH 328,7819642.272691138,1035616.5397032169,2019,1.4,2.0
27007,Urdtjernet,7770391.52737152,1064510.765176858,1995,1.7,1.0
27007,Urdtjernet,7770391.52737152,1064510.765176858,2019,1.9,1.0
27008,Indre Torvfjellvatna,7797943.192687955,1032760.5339201025,1995,2.1,4.0
27008,Indre Torvfjellvatna,7797943.192687955,1032760.5339201025,2019,2.4,1.0
27010,HOH 205,7827132.180431587,1045320.6773700685,1995,1.5,4.0
27010,HOH 205,7827132.180431587,1045320.6773700685,2019,1.8,2.0
27011,Moalkegalsajavri,7804299.907636348,1044165.100571588,1995,1.7,1.0
27011,Moalkegalsajavri,7804299.907636348,1044165.100571588,2019,1.9,6.0
27014,Skurdalsvatnet,7029459.000146377,354518.9998288301,1995,1.4,24.0
27014,Skurdalsvatnet,7029459.000146377,354518.9998288301,2019,1.7,13.0
27015,HOH 770,6877459.989912864,-11612.973154705542,1995,0.42,120.0
27015,HOH 770,6877459.989912864,-11612.973154705542,1996,0.5,103.0
27015,HOH 770,6877459.989912864,-11612.973154705542,1997,0.46,82.0
27015,HOH 770,6877459.989912864,-11612.973154705542,1998,0.66,50.0
27015,HOH 770,6877459.989912864,-11612.973154705542,1999,0.44,100.0
27015,HOH 770,6877459.989912864,-11612.973154705542,2019,0.53,38.0
27016,Færetjørn,6497887.998191984,89302.00131392863,1995,7.1,51.0
27016,Færetjørn,6497887.998191984,89302.00131392863,1996,8.9,57.0
27016,Færetjørn,6497887.998191984,89302.00131392863,1997,10.0,13.0
27016,Færetjørn,6497887.998191984,89302.00131392863,1998,8.95,21.5
27016,Færetjørn,6497887.998191984,89302.00131392863,1999,8.4,67.0
27016,Færetjørn,6497887.998191984,89302.00131392863,2000,5.3,133.0
27016,Færetjørn,6497887.998191984,89302.00131392863,2001,8.8,72.0
27016,Færetjørn,6497887.998191984,89302.00131392863,2002,8.2,90.0
27016,Færetjørn,6497887.998191984,89302.00131392863,2003,9.3,61.0
27016,Færetjørn,6497887.998191984,89302.00131392863,2019,10.9,26.0
27020,Mjovatnet,6646590.285166441,182983.44618348824,1995,7.4,92.0
27020,Mjovatnet,6646590.285166441,182983.44618348824,1996,,81.0
27020,Mjovatnet,6646590.285166441,182983.44618348824,1997,8.3,58.0
27020,Mjovatnet,6646590.285166441,182983.44618348824,1998,8.9,60.0
27020,Mjovatnet,6646590.285166441,182983.44618348824,1999,8.7,44.0
27020,Mjovatnet,6646590.285166441,182983.44618348824,2000,9.0,53.0
27020,Mjovatnet,6646590.285166441,182983.44618348824,2001,9.4,33.0
27020,Mjovatnet,6646590.285166441,182983.44618348824,2002,8.8,45.0
27020,Mjovatnet,6646590.285166441,182983.44618348824,2019,8.9,42.0
27021,Øytjørn,6526262.998151463,76129.00215203717,1995,6.0,64.0
27021,Øytjørn,6526262.998151463,76129.00215203717,1996,5.0,92.0
27021,Øytjørn,6526262.998151463,76129.00215203717,1997,5.8,53.0
27021,Øytjørn,6526262.998151463,76129.00215203717,1998,5.8,52.0
27021,Øytjørn,6526262.998151463,76129.00215203717,1999,5.4,48.0
27021,Øytjørn,6526262.998151463,76129.00215203717,2000,5.7,47.0
27021,Øytjørn,6526262.998151463,76129.00215203717,2001,6.6,56.0
27021,Øytjørn,6526262.998151463,76129.00215203717,2002,5.2,61.0
27021,Øytjørn,6526262.998151463,76129.00215203717,2003,5.3,49.0
27021,Øytjørn,6526262.998151463,76129.00215203717,2016,6.8,31.0
27021,Øytjørn,6526262.998151463,76129.00215203717,2019,7.2,26.0
27022,Eikelitjørna,6504258.995437052,-2220.9910290592816,1995,0.51,142.0
27022,Eikelitjørna,6504258.995437052,-2220.9910290592816,1996,0.55,160.0
27022,Eikelitjørna,6504258.995437052,-2220.9910290592816,1997,0.6,123.0
