cell_id,NO3_NO2_ugpl_orig,TOC_mgpl_orig,NO3_NO2_ugpl_1990,NO3_NO2_ugpl_1991,NO3_NO2_ugpl_1992,NO3_NO2_ugpl_1993,NO3_NO2_ugpl_1994,NO3_NO2_ugpl_1995,NO3_NO2_ugpl_1996,NO3_NO2_ugpl_1997,NO3_NO2_ugpl_1998,NO3_NO2_ugpl_1999,NO3_NO2_ugpl_2000,NO3_NO2_ugpl_2001,NO3_NO2_ugpl_2002,NO3_NO2_ugpl_2003,NO3_NO2_ugpl_2004,NO3_NO2_ugpl_2005,NO3_NO2_ugpl_2006,NO3_NO2_ugpl_2007,NO3_NO2_ugpl_2008,NO3_NO2_ugpl_2009,NO3_NO2_ugpl_2010,NO3_NO2_ugpl_2011,NO3_NO2_ugpl_2012,NO3_NO2_ugpl_2013,NO3_NO2_ugpl_2014,NO3_NO2_ugpl_2015,NO3_NO2_ugpl_2016,NO3_NO2_ugpl_2017,NO3_NO2_ugpl_2018,TOC_mgpl_2019,NO3_NO2_ugpl_2019,NO3_NO2_ugpl_2020,NO3_NO2_ugpl_2021,runoff_mmpyr,Bare_area_km2,Forest_area_km2,Lake_area_km2,Other_area_km2,Peat_area_km2,Total_area_km2
69524012,2.0,3.08,3.2739329618566178,3.291626874138327,3.2725924323586857,3.231555938720703,3.188278647030101,3.160584393669577,3.1507976756376377,3.1141263176413143,3.052818971521714,2.980186238008387,2.881945441750919,2.7537123736213234,2.5975133110495174,2.4289689905503216,2.2624368106617645,2.108560225542854,1.9840669070973116,1.9024546006146599,1.8546112284940832,1.8310539021211512,1.824555004344267,1.8220498702105354,1.8197652031393612,1.8142855027142692,1.7992097069235409,1.7746076022877413,1.7466221977682674,1.7200035768396713,1.696763094733743,5.250106362735524,1.6711953107048483,1.6454581092385685,1.6297567030962776,468.85032743566177,0.0,22.83237510412781,3.4611430871013957,103.21762477217509,5.6056439556271895,135.11678691903148
69524013,2.0,3.22,1.7339283741303604,1.7432992754191379,1.7332183392378535,1.7114848116018477,1.6885644397596373,1.6738969566178148,1.668713757591526,1.6492919921875,1.6168227369767907,1.5783552183722058,1.526325309363595,1.4584110009409215,1.3756854203495665,1.286421615711964,1.1982234759922445,1.1167278429017449,1.0507942812286155,1.0075710324475364,0.9822323096059534,0.9697559662979015,0.9663141626511177,0.964987204892792,0.9637773054359603,0.9608751283074818,0.9528908833970119,0.9398611026958827,0.9250396394381558,0.9109419105696852,0.8986334139413207,5.6415570112910585,0.8850922967395644,0.8714614645408018,0.8631457029467952,412.0022239963504,0.0,23.10853109992874,22.080537325547635,79.78266098787513,10.9384860503439,135.9102154636954
69524014,2.0,3.22,1.9555044735179228,1.9660727557014017,1.9547036114860983,1.9301926107967602,1.9043435489430147,1.887801675235524,1.8819561004638672,1.860052557552562,1.8234339321360868,1.780050838694853,1.721372043385225,1.6447790931252873,1.551482032327091,1.4508113861083984,1.351342481725356,1.2594328487620634,1.1850736281451058,1.1363269581514246,1.1077501633588005,1.0936796524945427,1.0897978614358341,1.0883014903349035,1.0869369506835938,1.0836639404296875,1.0746592353372013,1.0599645726821,1.043249018052045,1.0273498086368336,1.0134683496811812,5.85886427935432,0.9981969945571002,0.9828241011675667,0.9734456679400276,390.5421357996324,0.0,35.4167342535883,18.276868336979625,69.57015660423899,12.646456268888052,135.91021546369495
69524015,2.0,2.2,2.0839089656221694,2.095171057659647,2.083055579144022,2.0569351859714673,2.0293886488762456,2.011760545813519,2.005531200464221,1.982189454894135,1.9431665392889492,1.896934619848279,1.8344027754189312,1.7527804167374321,1.6533572431923687,1.5460762355638586,1.4400758605072463,1.342131130937217,1.262889253920403,1.210941701695539,1.1804886969967165,1.1654939513275588,1.1613574926403984,1.1597628386124321,1.1583086096722146,1.1548207600911458,1.1452247509057971,1.1295651422030684,1.1117519433947578,1.0948088272758152,1.0800159841343977,6.01846578846807,1.0637417116026948,1.047359521838202,1.037365236144135,417.04902626811594,0.0,0.0,10.808640057078208,114.52946743793892,10.572107968678909,135.91021546369603
69523001,0.0,,2.4793138691023286,2.4927127314548865,2.478298411649816,2.447221643784467,2.4144484576056984,2.3934758504231772,2.386064417221967,2.3582937203201593,2.3118661618700216,2.2568622663909315,2.1824656467811736,2.0853560204599417,1.9670682420917587,1.8394314635033702,1.713318619073606,1.5967894909428615,1.502512165144378,1.4407079360064339,1.4044766893573837,1.3866370705997242,1.3817155127431833,1.3798181870404411,1.3780881096335018,1.3739384669883579,1.3625217512542127,1.3438909194048714,1.3226979573567708,1.3025397506414675,1.2849399342256433,2.176557653090533,1.2655778772690718,1.2460873921712239,1.2341968311982996,553.676796875,0.0,60.685143101458316,3.929133440485435,34.660046314802265,1.884866657364019,101.15918951411003
69523002,10.0,,2.6140163966587613,2.628143310546875,2.612946101597377,2.580181121826172,2.5456270490373885,2.523514883858817,2.5157007489885603,2.4864213126046315,2.437471389770508,2.379478999546596,2.301040376935686,2.1986548560006276,2.0739404133387973,1.9393689291817802,1.8064043862479073,1.6835441589355469,1.5841447285243444,1.5189826147896903,1.4807827813284737,1.4619738715035575,1.456785065787179,1.454784665788923,1.452960695539202,1.4485855102539062,1.4365485055106026,1.416905403137207,1.3945609501429967,1.3733076368059431,1.3547517231532507,2.972179412841797,1.3343377794538225,1.3137881415230888,1.3012515476771764,451.59711371527777,0.0,62.84716371342953,7.046359861523084,40.71896928981003,2.406961855405022,113.01945472016766
69523003,0.0,,2.9128117416844224,2.9285537257339014,2.911618781812263,2.875108661073627,2.836605187618371,2.811965479995265,2.803258260091146,2.7706317323626894,2.7160868789210464,2.6514654448538115,2.5640610203598486,2.449972441702178,2.311002326734138,2.161048657966383,2.0128853537819604,1.8759817643599077,1.76522041089607,1.6926100759795217,1.6500438343394885,1.6290849627870503,1.6233028065074573,1.6210740985292378,1.619041327274207,1.614166259765625,1.6007532061952534,1.5788648200757576,1.5539664066199101,1.5302836100260417,1.5096067948774858,3.6418729839902935,1.4868591770981296,1.4639608209783381,1.4499911683978457,540.1919981060606,0.0,43.98556932827874,2.393682343279791,81.53644420303321,5.612170659039938,133.52786653363168
69523004,0.0,,2.816134324714319,2.831353714217001,2.8149810335529386,2.7796824441027286,2.7424566923682367,2.7186352174673507,2.710216693024137,2.6786731321420243,2.625938529398904,2.563462214683419,2.4789585853690532,2.368656443126166,2.234298933797808,2.089322673740672,1.946076805911847,1.8137170592350746,1.706631902438491,1.6364315659252566,1.595277928594333,1.5750147122055738,1.5694247573169309,1.5672697380407532,1.5653046565269357,1.5605911710369054,1.5476233638934236,1.5264614731518191,1.5023894808185634,1.479492870729361,1.4595021489840836,4.028563997638759,1.4375096790826143,1.4153711119694496,1.4018652617041745,641.9502098880597,0.0,4.610495880052505,8.3784694327712,115.95139687340199,4.587511624637544,133.52787381086324
69523005,8.0,2.08,2.951006667058271,2.9669551992774905,2.9497983545289004,2.9128092141976034,2.873800865689615,2.8488381751497887,2.840016529972392,2.806962321575423,2.7517021007107614,2.68623363523555,2.5976828668350564,2.4820981133253053,2.3413058402843046,2.18938612400141,2.0392800237899436,1.9005810730439379,1.788367249911889,1.7148048572970511,1.6716804217575187,1.6504466121358083,1.6445888433241307,1.642330657270618,1.6402714091136044,1.635332265294584,1.6217435679041354,1.5995680730145676,1.5743431148672462,1.5503497589799695,1.5294017361519032,2.3622812830415882,1.5063559166470866,1.48315727979617,1.4690044661213582,574.5855263157895,0.0,80.08003911176436,3.7379216494126783,46.50113483868802,4.003576122602386,134.32267172246748
69523006,8.0,2.08,2.7624828197337963,2.777412018952546,2.7613514087818287,2.726725712528935,2.690209056712963,2.666841182002315,2.6585831253616896,2.627640787760417,2.5759107801649304,2.5146247016059027,2.4317310474537037,2.323530183015046,2.191732222945602,2.0495180483217594,1.9090011031539351,1.7791630497685185,1.6741181550202546,1.605255126953125,1.564885683412905,1.5450085675274885,1.5395248978226272,1.537411046911169,1.535483353226273,1.5308598271122684,1.5181389702690973,1.4973802354600694,1.4737667507595487,1.4513063783998843,1.4316965738932292,3.2185277868200233,1.410123019748264,1.3884064850983797,1.3751577871817129,492.431712962963,0.0,68.60516358615618,8.14375872360853,54.07094841684735,3.5028009958432618,134.32267172245534
