"BLR";"CLA";"CLAOAAVAROAA";"NIMM";"NUPT";"RHON";"FFOR";"CLRAT";"CLMINN";"CLMAXN";"CLMAXNOAA";"CLMAXS";"CLMAXSOAA";"ANCVARLIMIT";"ANCVARLIMITOAA";"CLA_MAGIC";"ANCVARLIMIT_MAGIC";"ANCVARLIMITOAA_MAGIC";"CLMAXS_MAGIC";"CLMAXSOAA_MAGIC";"CLMAXN_MAGIC";"CLMAXNOAA_MAGIC";"CLAOAAVAROAA_MAGIC";"BC0";"BC_MAGIC";"Q2";"ENO3FL";"CA";"CL";"MG";"NA";"SO4";"NO3N";"ILAL";"K";"KX";"TOC"
61510006;35,30572703999771278009083984309852948551;33,15444070098816425893598727746145482502;3,3915;6,9;0,3804613321929639003069562028132832747677;0,95;0,05;9,72290883977900552486187845303867403315;72,69210690607497870865763795901090761621;68,85520034910359784087203084374406860086;37,47386676099772707521527209407916367622;35,19046901248322343764130734107414755089;8,82643175999942819502270996077463237138;6,630888140197632851787197455492290965;30,82673488693350747669043817279265693494;7,70668372173337686917260954319816423373;5,71822868167521315042064161231063544819;32,7198177938901730549611229342127028291;30,34693769133418542334269202124541135474;64,7036424933703461429804262839702937862;60,71637429608537288894811895964145677228;28,59114340837606575210320806155317724095;95,5520206;83,43;407,097;0,058;1,42;0,2;0,12;0,54;1,5;2;;0,12;2,967;2,2
61510015;129,543576918822669681239771779890418666;129,75281997235664867094382904910826532;3,3915;0;0,2736523170688990857823391362219342183614;0,95;0,05;3,20412430939226519337016574585635359117;200,275137692150555609019100600715212706;200,593453285899244461211754250445140391;134,424145938080027995732023206266103549;134,641272247494865427589109903862723993;32,38589422970566742030994294497260466664;25,95056399447132973418876580982165306393;78,31396875868433782888981140620228974912;19,57849218967108445722245285155057243724;15,40452829453093880041698095617462348823;81,2644564539425607174592500849135254382;79,92447826529142053207448025696875185411;122,340970399189576480203533915264802917;120,376510385659623538100176289314322176;77,02264147265469400208490478087311744131;227,608655;137,598;663,568;0,427;3,61;0,9;0,27;1,22;3,7;9;;0,54;13,353;1,8
61511004;23,53126282089058531810857121350694666523;16,2982464529835054953856993352188090364;3,3915;0;0,4303466700635363823681805114928381707168;0,95;0,05;3,20412430939226519337016574585635359116;48,84836794981759528809589559410249999851;34,8182853373860002437750435010584183255;25,30894058826001915987039264342252824857;17,52950338071858796790877083854271499122;5,88281570522264632952714280337673666631;3,25964929059670109907713986704376180728;27,71795301652509959184257781301785968685;6,92948825413127489796064445325446492171;4,10998215057156100618147650493056836081;29,81191581017181771939356170168649806381;22,10236119909351600575284561202957759504;56,96940713037821090315184165713176072533;43,06535659139769588879780486013281736338;20,54991075285780503090738252465284180406;76,9899264;90,688;330,927;0;0,62;0,3;0,28;0,71;1,8;0;;0,23;5,73;7,2
61511013;100,882150997650898014076049276381918876;95,21339234809967810051430091010243078193;3,3915;19;0,4466423216825194914709182251506077908713;0,95;0,05;21,15440055248618784530386740331491712708;222,600941226848305953808062095699501598;211,281279536679220105512249574140673197;109,024847828915579901488073968404531883;102,898535661359179710011729405551918628;25,22053774941272450351901231909547971892;19,04267846961993562010286018202048615636;95,85155738500677072263426124872729905251;23,96288934625169268065856531218182476312;18,02188729449998606332673664132201022575;103,588210151350478405617797115922753433;97,38261429013743066505051479057700087303;212,555599501042925472342121459316953438;201,089444363397716906963534857767456986;90,10943647249993031663368320661005112868;350,928411;333,429;309,732;0,664;3,66;0,4;1,87;0,73;5;30;;0,63;15,909;7,2
61512015;61,92817102070363366211836216889070979001;58,03456031710220026245394985599751759156;3,3915;0;0,3204663939711298234999288564605384091792;0,95;0,05;3,20412430939226519337016574585635359115;103,903953792165366362691673517497282241;97,57265210082551408765884239027363725089;64,84868848682423595173012240533514285381;60,77145605051668926114168010671753000361;15,48204275517590841552959054222267744756;11,60691206342044005249078997119950351828;93,77921428185124741921448758562976243644;23,4448035704628118548036218964074406091;18,12978172001186955854247462936109985456;98,20181919258967712284439703821957642121;94,92388905705905105374881128107147177619;155,696128054403916525429372498925858877;150,606017314979425859753319877862126308;90,64890860005934779271237314680549927257;132,3027414;200,349;530,113;0;2,21;0,6;0,409;;2,2;0;;;;3,3
62005007;68,33977852436023829679183402677219788186;61,92192144475678782007854059395472873205;3,3915;0;0,1764288264942463031103696395629646253146;0,95;0,05;3,20412430939226519337016574585635359115;94,89452079180963911960480044209827128645;86,2837837817888932917951531096762345806;69,8037815535829868074368850641048716451;63,24843848253300388097814789098495508839;17,08494463109005957419795850669304947047;12,38438428895135756401570811879094574641;95,5446098267428578506453065046229902756;23,8861524566857144626613266261557475689;18,08275351880865289163194693304785696518;97,59140601532571498907877333896909658638;92,35064875607304813586893599191308840179;131,394811284609314071801077180203373904;124,510841673305084237847235283952840425;90,41376759404326445815973466523928482592;75,6450658;105,758;1167,002;1;1;6,7;0,9;;2,5;12;;;;3
62006002;37,33146339650339295268820176469078423901;32,70177807081720915891579594750787728095;3,3915;0;0,1901270809409008981603303648158429094006;0,95;0,05;3,20412430939226519337016574585635359116;54,13833241350489601452507088883713836913;47,82169399699044055355801784545025791922;38,20786289027524674673390050366146683752;33,46949032046312311312121696777033789455;9,33286584912584823817205044117269605975;6,54035561416344183178315918950157545619;75,61689184605452021852313269140024205761;18,9042229615136300546307831728500605144;14,5335595285008351319310591583387057681;77,39208627201667946715736311207899054475;74,37375865429165478135701931273506119629;106,374108956548190834105455136119035281;102,35043122693808494659948177028602475;72,66779764250417565965529579169352884049;44,3888456;89,912;1064,91;0,456;0,61;4,8;0,4;2,98;1,4;6;;0,16;1,655;2,1
62006010;54,76286220177382716529346570571453477054;54,21443113243649386712315510718855910025;3,3915;6,9;0,0881878386853944712574668643014923498814;0,95;0,05;9,72290883977900552486187845303867403315;76,08685145211377123476533049625124458275;75,42223958653554604836132304069517253618;55,29251278801274074551038154505381892822;54,73877745177431139778753933165261630475;13,69071555044345679132336642642863369263;10,84288622648729877342463102143771182005;23,02987386273174000107519402848170757821;5,75746846568293500026879850712042689455;3,95557132460489042774432955765289211743;23,25261215108966662606847406580369690585;19,96914233990932987802803954932313828418;37,63147983017790745967734188033326061279;33,6905483888101983776636081755262293456;19,77785662302445213872164778826446058712;34,876739;14,667;2584,858;1,477;0,48;1,9;0,19;1,16;1,1;8;;0,24;5,173;0,9
62007002;32,81062271638367255144495670752277071854;32,73545834928984744871120462914255654918;3,3915;0;0,1287650912686966912522147595698215830895;0,95;0,05;3,20412430939226519337016574585635359116;44,81727751006595913478414023569347795429;44,72194782522138682461397171014964499637;33,29555080940627459799842572810075340155;33,21927554254339821146764860599684376643;8,20265567909591813786123917688069267964;6,54709166985796948974224092582851130984;38,48027302372652648150230518385246823344;9,62006825593163162037557629596311705836;7,7526820333795609966046578355889244895;39,04899631732823569099291577645339030698;39,33631811606331595810817273205489933528;52,00799829805924704575515039763722537994;52,36709630779327594902997206524573627088;38,76341016689780498302328917794462244752;27,5997794;32,369;1691,52;3,625;0,43;2,1;0,259;;0,9;30;;;;0,5
62007003;51,24761215150701794666985737738670012602;53,89801986907869107018137547101364298574;3,3915;0;0,1376532218011869011396585539363865919155;0,95;0,05;3,20412430939226519337016574585635359116;68,87050954921307107735137159259671974381;72,26662279074558731124011789774912799608;52,06565880056009908450317076877803325023;54,75837399473329761483046859365857477081;12,8119030378767544866674643443466750315;10,77960397381573821403627509420272859715;34,66271283280136855619261975675142530988;8,66567820820034213904815493918785632747;7,26483285415915973998798079485751028227;35,21602087759636000271641588327172890169;36,90399344944181970644020445441611365428;47,61936550359257792423268621210437704753;49,74827464890166714358332461389300976881;36,32416427079579869993990397428755141134;45,533769;30,798;1566,158;0,559;0,82;0,8;0,15;;2;5;;;;0,1
